name.first,name.last,authentication.securityQuestions.question,authentication.securityQuestions.answer,authentication.userName,authentication.phone,authentication.email,authentication.password
Shanti,Roy,what is your first school,no,shanti1234,9900887755,shantiroy@gmail.com,12345
Sanjeev,Mishra,what is your first school,no,sanju99,9450889451,sanju99@gmail.com,998899
Rahul,Mishra,what is your first school,no,rj1234,9936375707,rahulmishra96@gmail.com,hello
Aditya,Mishra,what is your first school,no,adi99,8858483939,aditya@gmail.com,343434
Shiva,Singh,what is your first school,no,shiva11,5645789833,shivag@gmail.com,123456
Piyoosh,Singh,what is your first school,no,justpiyoosh,8896136036,piyoos99@gmail.com,333333
Ayush,Singh,what is your first school,no,justayoosh,8978564783,ayushkaka@gmail.com,243546
Priyank,Srivastava,what is your first school,no,priyank1234,9944556633,priyank1999@gmail.com,134556
Shivang,Mishra,what is your first school,no,shivanng55,8899008877,shivang@gmail.com,5678909
Gaurav,Mishra,what is your first school,no,gauraiyla11,9933224455,mishraggaurav@gmail.com,674839
Shaanti,Roy,what is your first school,no,shanti123405,9900787755,shaantiroy@gmail.com,123445
Rajeev,Mishra,what is your first school,no,ranju918,9859879451,ranju99@gmail.com,998899
KLRahul,Mishra,what is your first school,no,rj12345,9886385707,rahiulmishra96@gmail.com,heello
VikramAditya,Mishra,what is your first school,no,adi989,89858483939,aditya1@gmail.com,343434
M.Shiva,Singh,what is your first school,no,shiva1563,5605769833,shivagi@gmail.com,123456
Ayoosh,Singh,what is your first school,no,justpiyoo0sh11,7896136036,piyuos99@gmail.com,333333
Ayush,Singh,what is your first school,no,justayooshio,7978564783,ayushaka@gmail.com,243546
Priyank,Srivastava,what is your first school,no,priyank32384,8944556633,priyanka1999@gmail.com,134556
Shivangi,Mishra,what is your first school,no,shivang5894,9899000877,shivangi@gmail.com,5678909
Saurav,Mishra,what is your first school,no,gauraiya13uu,9333224655,mishraggauravji@gmail.com,674839
Ahaanti,Roy,what is your first school,no,ahanti12345yu,9700787755,ahaantiroy@gmail.com,123445
Raj,Mishra,what is your first school,no,raj911,9459879851,raju99@gmail.com,998899
K.L.Rahul,Mishra,what is your first school,no,rj11234589,9936385707,rahumishra96@gmail.com,heello
ViramAditya,Mishra,what is your first school,no,adi9899,88858483939,additya1@gmail.com,343434
M.AShiva,Singh,what is your first school,no,shiva11378,5645869833,shivagii@gmail.com,123456
R.Ayoosh,Singh,what is your first school,no,justpiyoosh191,9796136036,piyuoos99@gmail.com,333333
M.Ayush,Singh,what is your first school,no,justayoosh890,8978566783,ayushakaa@gmail.com,243546
S.Priyank,Srivastava,what is your first school,no,priyanjkk3234,6944556633,priyanka19998@gmail.com,134556
vangi,Mishra,what is your first school,no,shivangiop54,9899008888,shivangii@gmail.com,5678909
M.Saurav,Mishra,what is your first school,no,gauraiyioa13,9933224455,mishraggauravjii@gmail.com,674839
Kanti,Roy,what is your first school,no,khanti1234678,9900887758,khantiroy@gmail.com,12345
Ranjeev,Mishra,what is your first school,no,sanju998989,9450849459,ksanju99@gmail.com,998899
Rahulbaba,Mishra,what is your first school,no,rj123476,9036374707,rahuglmishra96@gmail.com,hello
Adityaa,Mishra,what is your first school,no,adi9955,8858483934,adity1a@gmail.com,343434
Shivathakur,Singh,what is your first school,no,shivrfa11,5645989833,shivag11@gmail.com,123456
Kamlesh,Singh,what is your first school,no,justpiyoosfgh,8896636036,piiyyoos99@gmail.com,333333
Ayushi,Singh,what is your first school,no,justayooshdg,8978569783,ayushikaka@gmail.com,243546
Priya,Srivastava,what is your first school,no,priya12dfb34,9984556633,priya1999@gmail.com,134556
Shivganga,Mishra,what is your first school,no,shivanghr5,889998877,shivan@gmail.com,5678909
Gaur,Mishra,what is your first school,no,gauraiya1htf1,9933224355,mishrajiggaurav@gmail.com,674839
Saanti,Roy,what is your first school,no,shanti1t2345,9900787754,saantiroy@gmail.com,123445
Ranjeet,Mishra,what is your first school,no,ranjtu91,9459879454,raanju99@gmail.com,998899
KRahul,Mishra,what is your first school,no,rj1234ht5,9936385704,rahiulimishra96@gmail.com,heello
Vikramaditya,Mishra,what is your first school,no,afhdi989,8985863939,vaditya1@gmail.com,343434
M.Shiva,Singh,what is your first school,no,shiva11fht3,5645769834,shivagni@gmail.com,123456
Ayooshi,Singh,what is your first school,no,justpiyoosfhh11ii,9894136036,piyuosoi99@gmail.com,333333
Ayushiii,Singh,what is your first school,no,justayooshifhii,8978464783,ayushiikjka@gmail.com,243546
Priyankaa,Srivastava,what is your first school,no,priyankf3234,9444556633,prikjkmyankaii1999@gmail.com,134556
Shivangips,Mishra,what is your first school,no,shivanfhg54,9099008877,shivangninjii@gmail.com,5678909
Sauravas,Mishra,what is your first school,no,gauraiya1g3,9833224455,mishraggaunjrhyavji@gmail.com,674839
Ahaantids,Roy,what is your first school,no,ahanti12345,9808787755,ahaantirofgmky@gmail.com,123445
Rasaj,Mishra,what is your first school,no,raj9gh1,9459879491,raju9fmkg9@gmail.com,998899
K.L.Raahul,Mishra,what is your first school,no,rgj112345,9936385607,ramjnhugfbfmishra96@gmail.com,heello
ViramAdaitya,Mishra,what is your first school,no,ahdi989,89858488939,addimntyagf1@gmail.com,343434
